species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Andea infrafoveolata,19,708239.4430314873,9538231.734132892,3.500798512881444,91989.1622547894,4,<= 100 km,100,100000,FALSE
Andea sericea,8,708378.5344248503,9540824.580240764,5.780091423815214,32978.78099442927,4,<= 100 km,100,100000,TRUE
Andeancistrus platycephalus,8,743832.0218826075,9567787.759942546,1.1924922583583437,57331.27866202804,4,<= 100 km,100,100000,FALSE
Andesanthus lepidota,17,710929.6752285669,9536034.832426429,2.4127834276039484,60843.062142008865,4,<= 100 km,100,100000,FALSE
Andesanthus lepidotus,62,712260.6548641255,9548779.6036196,1.1069605726213374,70439.93082950874,4,<= 100 km,100,100000,FALSE
Andicolea leptothamna,8,704218.6496364316,9526743.279353544,2.813223366465245,38679.67749575312,4,<= 100 km,100,100000,FALSE
Andicolea ollgaardii,6,698340.3748839071,9535964.245352224,3.4620581848825553,70784.1376872187,4,<= 100 km,100,100000,FALSE
Andicolea thuyoides,15,707238.5681573295,9542584.514759688,1.8945919283194435,66093.42942028867,4,<= 100 km,100,100000,FALSE
Andigena hypoglauca,70,706571.5225800585,9522666.261416478,1.7994699562377232,83019.06229824685,4,<= 100 km,100,100000,FALSE
Andigena nigrirostris,13,715717.8601453707,9499378.467391152,1.5913517200369756,55528.52801107199,4,<= 100 km,100,100000,FALSE
Andinia schizopogon,10,704957.5549186007,9512665.089921258,7.916542373652273,46095.99430325772,4,<= 100 km,100,100000,TRUE
Andinia vestigipetala,8,706351.4824772527,9513755.735252617,13.188100488801608,46709.1796023976,4,<= 100 km,100,100000,TRUE
Andinocleome longifolia,7,716076.2725516792,9566079.734101,2.0327756298650637,51172.75183005093,4,<= 100 km,100,100000,FALSE
Andropogon aequatoriensis,19,708416.3062343191,9545533.449642079,1.167326164274868,36016.5427626755,4,<= 100 km,100,100000,FALSE
Andropogon bicornis,9,716452.8047110338,9522785.278126122,1.5903671327687912,111556.73368008026,4,<= 100 km,100,100000,FALSE
Andropogon glaucescens,5,707555.5459363087,9556181.17168669,1.9802282578644468,33433.44923754708,4,<= 100 km,100,100000,FALSE
Andropogon leucostachyus,7,714702.3003951403,9532414.565117836,1.3219009131965362,27516.24075241841,4,<= 100 km,100,100000,FALSE
Andropogon scabriglumis,6,708463.6341462784,9574235.868030349,2.3880014103094913,38228.17064659997,4,<= 100 km,100,100000,FALSE
Andropogon tenerum,8,701613.818903491,9545904.227358326,2.2642805508978094,30706.957744610296,4,<= 100 km,100,100000,FALSE
Anemia phyllitidis,10,714450.4943514431,9513643.995972067,3.5277060334621257,54758.352556187456,4,<= 100 km,100,100000,FALSE
Anetanthus gracilis,15,723580.0057668118,9527095.919764878,1.0327877468750288,59786.588997979794,4,<= 100 km,100,100000,FALSE
Anhinga anhinga,26,754893.215210136,9551696.731827341,1.4636724208437313,72815.85886407118,4,<= 100 km,100,100000,FALSE
Aniba coto,6,725401.3095509134,9506185.902892392,6.6871334306765275,60863.01254477806,4,<= 100 km,100,100000,TRUE
Aniba guianensis,9,767700.9562321358,9569939.366867157,2.177562403313536,88735.91070917754,4,<= 100 km,100,100000,FALSE
Aniba hostmanniana,9,723768.4313301146,9502969.597186992,1.5816889482420413,59618.27872248259,4,<= 100 km,100,100000,FALSE
Aniba muca,27,721407.149914259,9540198.446789518,1.8739866249753283,86131.92135527011,4,<= 100 km,100,100000,FALSE
Aniba perutilis,14,762490.8934356534,9588387.822762674,1.7138029243447024,59874.4525680378,4,<= 100 km,100,100000,FALSE
Aniba riparia,7,723930.2847585169,9543741.909748094,1.1159851333302218,85012.34519917179,4,<= 100 km,100,100000,FALSE
Anisognathus igniventris,87,707083.5157534964,9521167.783562148,1.7641265710509015,101488.97477816723,4,<= 100 km,100,100000,FALSE
Anisognathus lacrymosus,289,707591.988423879,9516832.464356365,1.476753782198374,125827.59071763493,4,<= 100 km,100,100000,FALSE
Anisognathus somptuosus,146,731746.7014890168,9532001.447704338,1.4924217827857997,97918.9893480379,4,<= 100 km,100,100000,FALSE
Annona andicola,6,715725.7438556105,9531127.443463549,3.817144512538678,84803.27216184419,4,<= 100 km,100,100000,FALSE
Annona cherimola,11,703777.5752870097,9552093.256459614,1.751638971273721,19337.610229966453,4,<= 100 km,100,100000,FALSE
Annona dolichopetala,8,737589.3697475061,9543622.023681795,1.9015749729259268,28696.80495097335,4,<= 100 km,100,100000,FALSE
Annona hispida,8,743697.1138530782,9537928.498415643,1.9836967565353132,33243.570028159505,4,<= 100 km,100,100000,FALSE
Annona mucosa,13,751164.9076078357,9567840.070215289,1.8064673606756556,131146.83935677083,4,<= 100 km,100,100000,FALSE
Annona neglecta,5,738032.0064286742,9501076.449697709,2.2374273865034833,86873.0284472485,4,<= 100 km,100,100000,FALSE
Annona papilionella,7,758906.8752100937,9526920.235631226,2.4848681816983875,4424.445019023846,4,<= 100 km,100,100000,FALSE
Anolis fuscoauratus,87,744922.7345739941,9530899.716783807,2.047096091170836,91117.41776719458,4,<= 100 km,100,100000,FALSE
Anolis lososi,13,714754.121031909,9558524.114661654,1.8378607540976404,29614.206061536337,4,<= 100 km,100,100000,FALSE
Anolis ortonii,7,761258.8569205136,9573856.910710556,1.2498538552378906,49219.71986380259,4,<= 100 km,100,100000,FALSE
Anolis podocarpus,16,745871.6175398139,9535465.094412157,1.7595807138199306,56075.28628978781,4,<= 100 km,100,100000,FALSE
Anolis punctatus,8,750799.0462152032,9578907.339153213,1.2377446482197016,42288.53684797961,4,<= 100 km,100,100000,FALSE
Anolis sagrei,5,780118.1459705946,9604300.358712522,2.27452208768229,13425.751441332372,4,<= 100 km,100,100000,FALSE
Anolis soinii,36,726284.0188897111,9541329.554982109,1.689988273489142,81421.90207567974,4,<= 100 km,100,100000,FALSE
Anoura aequatoris,8,748045.5131063451,9535535.081374785,2.136129911832282,80413.7659140045,4,<= 100 km,100,100000,FALSE
Anoura caudifer,9,754976.2477040226,9568242.46593589,1.2992067794077116,80219.6617410066,4,<= 100 km,100,100000,FALSE
Anoura cultrata,5,750752.6780419083,9551829.46024316,2.1354543057817934,96652.92806661634,4,<= 100 km,100,100000,FALSE
Anthodiscus peruanus,5,778126.8756774326,9597784.11991735,1.0438602060702418,20769.3690082521,4,<= 100 km,100,100000,FALSE
Anthopterus revolutus,20,777170.5807184938,9576054.365790784,2.2704543327591318,52019.91704633085,4,<= 100 km,100,100000,FALSE
Anthopterus schultzeae,13,781070.1250733347,9590760.315954283,2.2227408305218725,54432.49435743198,4,<= 100 km,100,100000,FALSE
Anthracothorax nigricollis,24,743933.8121836537,9559964.293948868,1.0261847049155708,63833.48794175951,4,<= 100 km,100,100000,FALSE
Anthurium achupallense,7,770084.2498101024,9559566.803723846,1.1666990641198542,84579.36140834645,4,<= 100 km,100,100000,FALSE
Anthurium amoenum,61,745148.1317121919,9550541.232624557,1.8950217974206847,106908.65230856578,4,<= 100 km,100,100000,FALSE
Anthurium andraeanum,5,705794.1364171683,9518913.204290302,16.065662981785085,38793.86853852234,4,<= 100 km,100,100000,TRUE
Anthurium arisaemoides,22,755529.178791276,9572547.797266282,1.428502883110467,89632.70867146668,4,<= 100 km,100,100000,FALSE
Anthurium atropurpureum,10,754995.1391598458,9551036.351716317,1.7574281110007872,46180.536594005716,4,<= 100 km,100,100000,FALSE
Anthurium benktsparrei,17,711399.9276732657,9528979.486074485,1.3950216502896648,56870.61986543221,4,<= 100 km,100,100000,FALSE
Anthurium bogneri,19,767501.9100435313,9577460.851969458,2.058488260778876,134098.45746085167,4,<= 100 km,100,100000,FALSE
Anthurium bomboizense,16,755275.2750020954,9562559.981437577,2.2330295150108084,46637.43418126373,4,<= 100 km,100,100000,FALSE
Anthurium breviscapum,94,752736.4719545399,9557837.002773007,1.8490586245242853,111666.32881734431,4,<= 100 km,100,100000,FALSE
Anthurium ceronii,6,779187.2721087519,9595997.343675936,2.0331316028098754,35072.47073790472,4,<= 100 km,100,100000,FALSE
Anthurium chloron,5,738459.3238726646,9564172.934818622,1.3622105958966868,43880.79269999513,4,<= 100 km,100,100000,FALSE
Anthurium clarkei,6,759576.9532795644,9527654.132467417,3.5971550241342447,13617.625229688616,4,<= 100 km,100,100000,FALSE
Anthurium clavigerum,10,783431.697210765,9603642.990336668,8.242112154188716,24294.219115513864,4,<= 100 km,100,100000,TRUE
Anthurium constrictum,7,748901.3139230758,9520653.115876272,3.0974327375427952,77006.99127553338,4,<= 100 km,100,100000,FALSE
Anthurium cutucuense,10,741070.401905058,9567960.098122383,1.2463588856960273,58151.46654463721,4,<= 100 km,100,100000,FALSE
Anthurium dolichocnemum,35,730554.8520613238,9551186.371792704,3.430761611374332,100756.58894190422,4,<= 100 km,100,100000,FALSE
Anthurium dombeyanum,15,707688.4430004472,9518620.086852154,4.545566651437657,69486.06403815399,4,<= 100 km,100,100000,TRUE
Anthurium effusilobum,18,747271.6900384898,9554846.054282945,1.1208952636473246,84136.96711644264,4,<= 100 km,100,100000,FALSE
Anthurium effusispathum,15,751374.8328872387,9559706.899221629,1.1918020922379073,51018.363137316686,4,<= 100 km,100,100000,FALSE
Anthurium ernesti,6,768220.12095406,9550467.52079717,2.968500720248772,50418.23157837594,4,<= 100 km,100,100000,FALSE
Anthurium gracile,12,749099.6794029978,9567608.356017817,1.897512923136005,82155.99133784467,4,<= 100 km,100,100000,FALSE
Anthurium greigi,18,750615.1528339632,9572882.830965105,1.0363033996820252,54984.47008315095,4,<= 100 km,100,100000,FALSE
Anthurium grex-avium,14,727350.6411779166,9551708.578633895,1.4913026611098557,73423.46805842103,4,<= 100 km,100,100000,FALSE
Anthurium gribii,6,710919.6185897067,9532981.356952254,7.757995942076357,30247.11250465075,4,<= 100 km,100,100000,TRUE
