species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Euphorbia pulcherrima,6,699293.7449392425,9547421.90821759,15.76363657264485,15294.652848743535,4,<= 100 km,100,100000,TRUE
Eupodium laevis,6,710661.4185743257,9550344.534425395,10.555417594178648,47634.521087687994,4,<= 100 km,100,100000,TRUE
Fernandezia crystallina,6,709513.7377357095,9547315.522435902,8.731093905215731,56999.734461715925,4,<= 100 km,100,100000,TRUE
Ficus cervantesiana,6,725021.4334177871,9527534.183476597,7.251685008924352,72843.21068030372,4,<= 100 km,100,100000,TRUE
Goniopteris pinnatifida,6,759184.1158893228,9523551.680058489,9.660707264580868,6618.032681590825,4,<= 100 km,100,100000,TRUE
Heisteria austroecuadorica,6,713798.5231290682,9534923.53102808,4.030005714643716,64164.63824421415,4,<= 100 km,100,100000,TRUE
Hydrocotyle leucocephala,6,763512.46103779,9574023.57833585,25.62588688189627,29465.710891334715,4,<= 100 km,100,100000,TRUE
Ichnanthus nemorosus,6,710577.2915715547,9529678.70086322,4.282643250976775,78990.16987208372,4,<= 100 km,100,100000,TRUE
Incaspis simonsii,6,696890.9564468665,9541224.966860145,4.251556028470967,81007.67415741048,4,<= 100 km,100,100000,TRUE
Inga sapindoides,6,722253.2351886805,9518843.37142972,7.352674018363258,43133.695361976876,4,<= 100 km,100,100000,TRUE
Isertia krausei,6,715539.1980243255,9518183.511323344,4.352271330485256,71834.51473003071,4,<= 100 km,100,100000,TRUE
Lepanthes focalis,6,710763.1850896588,9532850.915021107,4.464800718879906,29894.24657679743,4,<= 100 km,100,100000,TRUE
Lepanthes intonsa,6,707588.8119559459,9544819.277289947,6.8016758328342926,51270.9958800826,4,<= 100 km,100,100000,TRUE
Lomaridium acutum,6,764224.7391459816,9551406.637913957,6.792181078315889,48938.762795078765,4,<= 100 km,100,100000,TRUE
Luehea paniculata,6,710361.4326750201,9451454.293456879,6.038869056582863,25577.687946234346,4,<= 100 km,100,100000,TRUE
Manettia trianae,6,705660.1431038133,9525709.875833511,7.077169715978165,35856.28060884734,4,<= 100 km,100,100000,TRUE
